stopName,lat,lon
Pal Putih,-6.184631,106.84402
Kemenkes 2,-6.2287,106.83302
Gg. Kunir II,-6.133132,106.81435
Taman Elok 1,-6.195743,106.93526
Sunter Boulevard Barat,-6.14965,106.889
Benhil 3,-6.21601,106.81632
Cervino Village,-6.224355,106.85165
SDN Pondok Labu 11,-6.313269,106.80221
Imperium,-6.210363,106.83059
TPU Bungur,-6.247208,106.77889
Pegangsaan Timur,-6.199263,106.84205
Tendean,-6.240213,106.83102
Slipi Petamburan Arah Selatan,-6.201948,106.79998
Pasar Rumput,-6.207125,106.84112
Gelanggang Remaja Pasar Minggu,-6.284615,106.83787
SMK Darussalam,-6.319946,106.74598
JORR,-6.236104,106.75488
Apartemen Simprug Teras,-6.232197,106.78874
Jembatan Tiga Arah Utara,-6.133383,106.79267
Gunung Sahari Mangga Dua Timur,-6.137032,106.83254
RS Harapan Kita Arah Utara,-6.184489,106.79674
Lippo Mall Kramat Jati,-6.270835,106.86741
Tirtayasa,-6.239207,106.80777
Masjid Jami At Taqwa 2,-6.229704,106.8962
Simpang Pahlawan Revolusi 1,-6.238658,106.899461
St. Jatinegara 2,-6.215601,106.86805
Univ. Moestopo Bintaro,-6.258469,106.76529
Jln. Kayu Besar Dalam,-6.122739,106.73129
Pantai Maju,-6.093637,106.75068
Polda Metro Jaya,-6.221094,106.81028
18 Office Park,-6.299146,106.8321
Phe Tower Kebagusan,-6.299876,106.83323
Balai Kota 1,-6.180598,106.82847
Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815
Lebak Bulus,-6.289413,106.77415
Jln. Kwitang Timur,-6.173788,106.85185
Monas 2,-6.175999,106.82311
Kemayoran Landas Pacu Timur,-6.152181,106.85424
PTUN Jakarta,-6.196388,106.84025
Rawa Selatan,-6.173925,106.85809
Pertamina Kilang Minyak,-6.108789,106.90537
Jln. BB Utara,-6.120279,106.79409
Ampera Garden,-6.288794,106.81818
Kampung Sumur,-6.214412,106.91189
Jln. Gading Mas Barat IV,-6.167384,106.91019
Garuda Taman Mini,-6.290154,106.88116
Sbr. Jln. Cikoko Timur I,-6.244364,106.85867
Sbr. Dirjen Anggaran,-6.227253,106.898692
CSW 1,-6.23994,106.79843
Komplek Dolog Jaya,-6.24794,106.91572
Ps. Pondok Bambu 1,-6.238102,106.90243
Pasar Enjo,-6.214881,106.87819
Ps. Kramat Jati 2,-6.269037,106.86664
Kebayoran Lama,-6.23834,106.77752
One Park Residences,-6.245436,106.78844
Jln. Kramat Lubang Buaya,-6.291363,106.90599
Kec. Kembangan,-6.195068,106.74247
Pancoran Tugu Arah Barat,-6.2433,106.84388
SMPN 143,-6.108442,106.93549
GBK Pintu 7,-6.222095,106.80861
SMKN 56,-6.119094,106.79423
Grand Pasar Minggu,-6.290648,106.84236
Karet Sudirman,-6.212457,106.82003
Pertamina Kalideres Daan Mogot,-6.15571,106.70927
Sbr. Plaza Kemang 88,-6.270024,106.81553
Penjaringan,-6.126306,106.79203
Tanah Kusir Kodim,-6.256997,106.78168
Masjid Amar Maruf 2,-6.255062,107.02206
SMAK Penabur Enam 2,-6.115644,106.77506
Menara Astra,-6.207361,106.8219
SDN Dukuh 01,-6.287794,106.87406
Simpang Jln. Cemara,-6.12663,106.85721
Sumur Bor,-6.153046,106.71929
Sbr. Sekolah Islam Al Azhar Jagakarsa,-6.330035,106.82621
Danau Agung 1,-6.147281,106.8582
Masjid As Sudairi,-6.220626,106.8591
Simpang Tj. Duren Timur 5,-6.180482,106.78375
Gg. Suka Damai,-6.295718,106.89906
Permai Koja Arah Selatan,-6.114359,106.89314
Cempaka Putih,-6.174207,106.87642
Graha Dirgantara,-6.255702,106.88296
Jatibening 1,-6.257161,106.94651
Karang Asri,-6.112414,106.77306
Jln. Batu Permata V,-6.279588,106.86244
Sbr. Jln. H. Jian 2B Cipete,-6.264625,106.8043
Penggilingan,-6.214132,106.93961
Tebet Eco Park Selatan 3,-6.241699,106.85365
Jln. Anggrek Raya,-6.205168,106.9229
Pasar Pulo Gadung,-6.187434,106.90591
RSUD Boulevard Raya,-6.13781,106.7304
Jak Lingko Tanah Abang,-6.185496,106.81105
Bermis,-6.178203,106.89859
Simpang Pluit Raya,-6.127123,106.80441
Matraman Baru,-6.21288,106.86115
Term. Pasar Minggu 2,-6.282492,106.84455
Sbr. Masjid Ar Rohmah,-6.118964,106.89568
Jelambar,-6.166548,106.78651
Sekolah Penabur Gunung Sahari,-6.170053,106.84024
JPO Timur Pondok Indah 1,-6.287054,106.77989
Gelanggang TB Simatupang,-6.289097,106.77909
Jln. H. Terin Pangkalan Jati,-6.327961,106.80054
Jln. Poncol Jaya 1,-6.239706,106.81889
Sbr. Gg. Pos Komodor,-6.265515,106.88332
Sbr. Jln. Flamboyan Srengseng,-6.201447,106.75576
Jln. Hidup Baru,-6.1398,106.8352
Simpang Mabes Hankam Raya Ceger,-6.306299,106.88855
Tegalan,-6.203101,106.85715
Pintu Air Gempol 1,-6.183327,106.95957
RS Mitra Keluarga 1,-6.240672,106.99317
Casablanca,-6.22425,106.84452
Masjid Jami Al Makmur Klender,-6.212322,106.90082
Simpang Kopi Bandengan Selatan,-6.135839,106.80689
Simpang Danau Sunter Utara Barat,-6.139853,106.85663
Ps. Ciplak Cibesel,-6.236104,106.88067
Sbr. SDN Johar Baru 10,-6.181178,106.86028
Sbr. Mess Polwan Esthi Bhakti Warapsari,-6.206604,106.81005
Islamic,-6.228521,106.61473
Kantor Pos Kebayoran Lama,-6.249119,106.778
Jln. Pramuka 1,-6.195283,106.860021
Patra Kuningan,-6.232677,106.832087
Wisma Asia II,-6.189386,106.79791
Mabes Au Dinas Psikologi,-6.251267,106.88826
Jln. Elpa Putih II,-6.110053,106.88721
Cawang Otista,-6.243607,106.86876
Midi Utama Cililitan 1,-6.264014,106.86929
Matraman 1,-6.19998,106.85443
Gg. Padi Pelita Cipinang,-6.211832,106.8877
Kuningan Madya,-6.21341,106.8305
Cempaka Mas,-6.165888,106.8792
Villa Bukit Gading,-6.157028,106.89966
Sbr. SDN Jagakarsa 05,-6.337,106.81848
Sbr. SDN Cipedak 05,-6.354871,106.80112
Senayan JCC Arah Timur,-6.214145,106.809
Superindo Bulak Kapal 2,-6.249488,107.02384
SPBU Gedong Panjang,-6.130757,106.80557
Jembatan Item,-6.130078,106.85492
Rusun Cakung Barat Albo,-6.16751,106.93243
Mayestik,-6.241921,106.79077
Bendungan Hilir,-6.217137,106.81528
Jln. Flamboyan Berdikari,-6.120868,106.89439
Sbr. Waduk Pluit,-6.113824,106.79461
Warga,-6.273295,106.84656
Cibubur Junction,-6.368735,106.89366
Jln. Taman Kb. Sirih,-6.182295,106.81661
Sbr. Minimarket Pondok Kelapa,-6.228599,106.93531
Slamet Riyadi,-6.208533,106.85929
Jln. Bekasi Timur VI,-6.214956,106.87866
Rusun Karang Anyar,-6.153256,106.82748
Duren Tiga,-6.252377,106.82697
Gunung Sahari Mangga Dua,-6.136817,106.83237
Pintu 3 TMII,-6.305153,106.88853
Kelapa Gading Utama,-6.176481,106.89487
Sbr. SPBU Tugu Selatan,-6.13436,106.91575
Sbr. Perum Qoriyah Toyibah,-6.19777,106.75877
Pertigaan Jengki Raya,-6.255038,106.87911
Pulo Mas,-6.174736,106.89277
Museum Textile,-6.188656,106.80954
Sbr. Gereja Kristen Jawa,-6.2014,106.88588
Cipinang Kebon Nanas,-6.231659,106.87637
Wolter Monginsidi,-6.238799,106.81376
Kel. Rawamangun,-6.199099,106.8808
Petojo,-6.169984,106.81698
Sbr. ITC Fatmawati,-6.26343,106.7969
Kalideres 1,-6.154249,106.70544
Lapangan Blok S,-6.237011,106.81421
BNN LRT,-6.245863,106.871143
Jln. Kota Bambu Raya,-6.186802,106.80783
Jln. Cipulir 1,-6.237267,106.7754
Pengadilan Negeri Jaktim 2,-6.212604,106.94082
Jembatan Dua,-6.143279,106.79352
Ps. Inpres Cipinang Besar,-6.22645,106.88078
Velodrome,-6.193468,106.8883
SPBU Jln. Guru,-6.318164,106.83745
Kav Polri Blok E Jagakarsa,-6.314309,106.81633
Jln. Metro Duta 1,-6.283107,106.78028
Pecenongan,-6.16771,106.82819
Balai Kartini,-6.234791,106.82457
Kementerian Pariwisata,-6.1795,106.82255
Simpang Tunda Bara TB Simatupang,-6.292612,106.7987
Gg. Subuh,-6.211257,106.89058
Rusun Pondok Bambu,-6.241583,106.91085
Viva Futsal,-6.218724,106.81944
Gelanggang Remaja Ciracas,-6.33946,106.88226
Mangga Dua,-6.136148,106.82597
Sbr. TK Tunas Harapan,-6.232157,106.75153
Dispenda Samsat Barat,-6.154634,106.7381
St. Rawa Buaya,-6.163471,106.72374
BNN Arah Barat,-6.24651,106.87318
Cut Meutia,-6.187542,106.83294
RSUD Koja,-6.108205,106.89982
Rusun Kapuk Muara,-6.135667,106.76299
Telkom Tebet,-6.224064,106.8516
SMK 57,-6.290967,106.82365
Masjid Al Barokah 1,-6.301819,106.91382
PLN Corporate University 2,-6.300935,106.82136
Ps. Kopro 2,-6.177343,106.78369
Komplek Abadi 2,-6.229722,106.90813
Aston Pluit 2,-6.124268,106.79419
BKN,-6.257751,106.87
Sbr. SDN Rorotan 03,-6.144294,106.95622
Masjid Darussalam Cipedak,-6.346656,106.81014
Yado I,-6.253745,106.79098
Pulo Gadung 2,-6.183098,106.90872
Sari Pan Pacific,-6.185037,106.82325
Gelora Bung Karno 1,-6.224642,106.8056
Bank Indonesia Arah Utara,-6.182776,106.8228
Masjid Al Barkah 2,-6.184779,106.94595
Sbr. SMA Islam As Syafiiyah 01,-6.220785,106.85332
Sbr. TK Al Husna Petukangan Utara,-6.231887,106.74517
Cakung United Tractors,-6.18324,106.92998
UPT. LLHD 2,-6.225501,106.83489
Melati Mas Residence 2,-6.271291,106.65563
Simpang Rawa Barat,-6.238408,106.81489
Explorer Tanah Abang,-6.184305,106.81158
Pospol PIK Penggilingan,-6.203442,106.93258
Jln. B Basmol Raya,-6.161701,106.75176
SMKN 28,-6.284944,106.79578
Stasiun Jatinegara Arah Utara,-6.21542,106.8742
Sbr. MNC Center,-6.182744,106.83084
Koramil Jln. Brigjen Katamso,-6.189138,106.80508
YPI Asyaadah,-6.191129,106.94382
Jln. Andara Raya,-6.327861,106.80061
Jln. Damai PBSI Cilangkap,-6.332964,106.89167
Masjid Pondok Indah 2,-6.261469,106.78201
Jln. Puri Lingkar Dalam,-6.184763,106.73503
Ps. Kemayoran,-6.161032,106.8549
Ragunan,-6.305769,106.81949
Balai Kota,-6.180488,106.82646
Sbr. Standard Chartered,-6.217407,106.81934
Andara Margasatwa 4,-6.312578,106.80356
Buncit Indah,-6.274333,106.83029
SD Jatinegara Kaum,-6.19781,106.90496
Taman Mataram,-6.232899,106.80053
Sbr. Gg. Rezeki Cijantung,-6.32655,106.85576
Tol Bekasi Timur 1,-6.263808,107.01671
Tosari,-6.196892,106.82309
Sbr. Kec. Jagakarsa,-6.334583,106.8216
Sbr. Univ. Mercu Buana,-6.210273,106.73786
Polsek Pademangan,-6.12944,106.84317
Bidara Cina,-6.229724,106.86721
SDN 11 Batu Ampar,-6.284068,106.85835
Indosiar,-6.163376,106.77514
Jembatan Gantung,-6.155513,106.74946
Pertigaan Cedang 1,-6.301603,106.9125
Aneka PIK Penggilingan,-6.202636,106.92867
Taman Pangkalan Jati Kalimalang,-6.24599,106.9053
Pejaten,-6.278404,106.82972
The Wave,-6.214587,106.83642
Museum Fatahillah,-6.13393,106.81209
Jln. Swakarsa IV Pondok Kelapa,-6.243335,106.94262
Grogol 1,-6.166824,106.78971
Velodrome 1,-6.193624,106.88875
Tj. Mas Raya,-6.308428,106.8391
Buperta Cibubur,-6.370321,106.89628
Flyover Jatinegara 1,-6.215301,106.87356
Permata Hijau,-6.221427,106.78325
Gg. Siluman Cililitan Besar,-6.264959,106.8747
Flyover Radin Inten 1,-6.216112,106.92439
Sbr. Jln. Rasamala Dalam,-6.174903,106.80482
Kalibata City 1,-6.255951,106.85404
Jln. Prima,-6.123869,106.71834
DPP FPI,-6.194368,106.80536
Masjid Assuada,-6.194327,106.90544
Jln. Kaimun Jaya,-6.292537,106.78705
Jln. Kemuning Raya 1,-6.197144,106.864674
Gelora Bung Karno,-6.224217,106.8058
